# 18/05/16更新
#  粒子の種類と初期濃度リスト。リストの最初は電子"e"とすること
# 300K

2	N2	1.467238E+25
3	O2	9.776122E+24
4	H2O	0.000000E+00
5	e	0.000000E+00
6	N2v1	2.053273E+20
7	N2v2	3.296679E+15
8	N2v3	6.072823E+10
9	N2v4	1.283478E+06
10	N2v5	3.112221E+01
11	N2v6	8.658371E-04
12	N2v7	2.763668E-08
13	N2v8	1.012091E-12
14	N2A1	0.000000E+00
15	N2A2	0.000000E+00
16	N2B	0.000000E+00
17	N2ad	0.000000E+00
18	N2C	0.000000E+00
19	N2E	0.000000E+00
20	N(S)	0.000000E+00
21	N(D)	0.000000E+00
22	N2p	0.000000E+00
23	N2Bp	0.000000E+00
24	O2v1	5.597415E+21
25	O2v2	3.595222E+18
26	O2v3	2.590484E+15
27	O2v4	2.093888E+12
28	O2a	0.000000E+00
29	O2b	0.000000E+00
30	O2A	0.000000E+00
31	O(P)	0.000000E+00
32	O(D)	0.000000E+00
33	O(S)	0.000000E+00
34	O2p	0.000000E+00
35	O2m	0.000000E+00
36	Om	0.000000E+00
37	H2Ov2	0.000000E+00
38	H2Ov1	0.000000E+00
39	H2Ov3	0.000000E+00
40	H	0.000000E+00
41	OH	0.000000E+00
42	H2	0.000000E+00
43	H2Op	0.000000E+00
44	OHm	0.000000E+00
45	Hm	0.000000E+00
46	O3	0.000000E+00
47	NO	0.000000E+00
48	H2O2	0.000000E+00
49	HO2	0.000000E+00
50	NO2	0.000000E+00
51	N2O	0.000000E+00
52	NO(A)	0.000000E+00
53	NH	0.000000E+00
54	HNO2	0.000000E+00
55	HNO3	0.000000E+00
56	HNO	0.000000E+00
57	N4p	0.000000E+00
58	O4p	0.000000E+00
59	N2O2p	0.000000E+00
60	O2pH2O	0.000000E+00
61	H3Op	0.000000E+00
62	H3OpH2O	0.000000E+00
63	H3OpH2O2	0.000000E+00
64	H3OpH2O3	0.000000E+00
